Strike,Type,OI,Volume,GEX,Vanna,DEX,Charm,IV
27680.0,Call,16.0,18.0,-1092902.0124697455,147.70705444152577,-6983726.799989643,987627.6305012136,0.473870650178129
27690.0,Call,17.0,27.0,-1181907.8224489614,158.9278250474469,-7408542.381244409,1047218.819806605,0.466987354040643
28075.0,Call,22.0,20.0,-4326955.759845929,315.3333663234762,-8143380.24061624,896500.6057932762,0.2014320755804488
28200.0,Call,110.0,206.0,-27891660.314440027,-167.92746563993003,-30425180.998030335,-396882.69678410655,0.1694205413262928
27370.0,Call,1.0,2.0,-44755.62860159528,7.224779570945169,-460450.3850198846,65109.56642416003,0.638686852687967
27340.0,Call,267.0,272.0,-11547905.092047222,1888.5755231356918,-123424017.05295515,17418230.123562276,0.653636971488563
27290.0,Put,9.0,8.0,-367926.80051488,60.94710131129322,896598.3746975241,586972.4776042205,0.683351657821544
27280.0,Put,19.0,20.0,-768157.6379306994,127.43325157206493,1888207.608322968,1239081.2564990483,0.689916254019531
27125.0,Put,18.0,25.0,-619899.8135418141,103.97075586603745,1748359.1579753803,1169668.4824407045,0.798232135403468
27020.0,Put,5.0,8.0,-156340.74573390675,26.379009803062505,479028.265120402,323997.4499724924,0.87148468084484
27010.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.87843794202728
28520.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.297140195871153
28410.0,Call,14.0,87.0,-2174591.59436555,-265.90374832248824,-2043148.5580428827,-840902.7811018513,0.2244163832211752
27800.0,Call,82.0,163.0,-7112964.342349194,902.3300847055493,-35095063.63849597,4924410.984724898,0.386770519252712
29375.0,Put,1.0,1.0,-33719.52798842668,-5.95096552139443,460963.7182171939,-70956.06310087189,0.845092250163473
28320.0,Call,16.0,31.0,-3191379.9999484317,-262.3642219889209,-3000907.826874379,-725193.3796369105,0.1961932396534087
28340.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.2020279392668457
26970.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.90621311505935
26975.0,Put,15.0,19.0,-451124.14326740085,76.30117768214431,1428897.644904319,970777.7572970996,0.902744474474729
27610.0,Call,5.0,11.0,-304537.8347507255,42.65364073594486,-2206583.411216122,312842.8064765835,0.519803199802727
26890.0,Put,36.0,49.0,-1009573.624924143,171.4986369440339,3393418.2794063766,2324209.5358055322,0.961590496299247
26890.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.961590496298396
27560.0,Call,8.0,17.0,-452828.0098033928,65.15642465473275,-3559675.7257317775,505266.7695008041,0.549582456430158
27720.0,Call,7.0,13.0,-514278.2863734799,68.09853976317626,-3036054.6546367886,428479.37067228917,0.445922180866911
27910.0,Call,8.0,21.0,-917306.6307564438,106.04740432833728,-3330770.3655982343,457308.5776544018,0.305607835114059
27890.0,Call,2.0,10.0,-216979.3799809746,25.661505599098863,-838194.825307977,115822.98568604371,0.319867838111409
27840.0,Call,7.0,19.0,-666945.2254697965,82.32692833105415,-2971202.5119093764,414755.4534995937,0.357036404161528
27840.0,Put,17.0,41.0,-1619724.1189978889,199.93682594677878,2368529.4623816763,1005950.3254472441,0.357036404161604
27740.0,Call,2.0,3.0,-152752.32068029096,20.01980187311546,-864673.3918569451,121887.00058218375,0.431483379389327
27730.0,Call,4.0,5.0,-299567.17657169094,39.463819880699155,-1732115.7428871146,244312.1091756533,0.438745408895217
28310.0,Put,6.0,6.0,-1233576.2579381065,-95.30351191870649,2224629.8156926353,-258869.8519577099,0.1924640935784235
28290.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.1858049231923174
27820.0,Put,12.0,9.0,-1089940.4947456564,136.50568938038023,1649583.2690926313,715272.9655375286,0.371832155244508
27830.0,Call,1.0,1.0,-93005.13880062055,11.566656555549262,-425413.5075388412,59475.681080386465,0.364413574553992
27740.0,Put,7.0,10.0,-534633.1223809759,70.0693065558866,920122.477861311,426063.8884281055,0.431483379389398
26960.0,Put,15.0,24.0,-445445.4056444319,75.40000920330934,1426209.823166663,970367.569572466,0.913147658804643
26940.0,Put,16.0,45.0,-467288.5680444648,79.17933003107862,1517500.8479413213,1034471.1402177525,0.927005953802639
28290.0,Call,25.0,50.0,-5441372.777171064,-361.68745369843697,-5127714.613152194,-946629.0264695081,0.1858049231923166
28310.0,Call,20.0,56.0,-4111920.859792908,-317.67837306222407,-3860222.564912022,-861354.8962126796,0.1924640935784674
27910.0,Put,1.0,1.0,-114663.32884454145,13.255925541037781,147436.46849459788,57086.34169114989,0.305607835114121
27860.0,Put,4.0,2.0,-400608.7748186892,48.655971567051466,565492.0639952157,234704.09170925166,0.342307592902916
