Strike,Type,OI,Volume,GEX,Vanna,DEX,Charm,IV
29440.0,Put,11.0,21.0,-1104934.5024387413,-215.26145295195255,5473431.679201743,-779305.5603057354,0.249171830701551
28680.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.293428456682784
29570.0,Call,18.0,16.0,-1197067.6149202948,-304.4937928623697,-847519.1940273142,-1107129.8402525028,0.250519266760822
29575.0,Call,21.0,14.0,-1376019.5713926107,-352.0701115699342,-973754.8059550289,-1284308.2773439367,0.251339477505452
29580.0,Call,93.0,207.0,-6004155.882302694,-1545.162647320928,-4246921.2771527525,-5654899.56226055,0.252156897302713
29990.0,Call,30.0,0.0,-699069.727928887,-237.82458309114503,-535959.411714785,-1141747.221271287,0.330762773620996
30070.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.355900296266325
28810.0,Put,9.0,14.0,-1245583.925439454,116.25995633744581,1553291.656554032,468062.7658521156,0.277489658698271
29840.0,Call,41.0,8.0,-1159413.7944045947,-389.68978806108504,-766519.462456092,-1600609.3156209895,0.282989475593309
29660.0,Call,43.0,87.0,-2102053.0935742767,-606.2192478582815,-1407027.2579381173,-2264037.508076986,0.257315736532944
29640.0,Put,5.0,3.0,-264406.0619219798,-73.84430168065124,2721732.10433152,-276261.42397798377,0.257390327238271
29630.0,Call,7.0,8.0,-384265.891439805,-105.64566353068648,-265555.37669029966,-394431.89231346996,0.25723844749569
28060.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.411062686492811
28130.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.387570857135714
28220.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.359026886920407
30040.0,Call,2.0,0.0,-43979.79826317706,-15.017177337480039,-35238.4157461033,-75524.52598423845,0.346499758161215
29960.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.321277342128752
29940.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.314935127458441
30470.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.47861275100697
30440.0,Call,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.469564065670485
30430.0,Call,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.466542672296375
30040.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.346499758161467
30030.0,Call,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.343359398901801
29930.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.311758325020892
28280.0,Put,18.0,18.0,-800178.955189719,206.9018010167099,765082.5064074801,1041226.7411232735,0.346737037417876
28270.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.34844983413512
30160.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.383924180381167
29360.0,Call,46.0,81.0,-5681602.512249364,-915.2082743807268,-5053651.783398844,-3228487.4308600435,0.243079176928872
29040.0,Call,4.0,8.0,-709863.1926413204,-4.044422002116895,-1143875.830005043,-14477.643339252374,0.249282686537608
28810.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.277489658698269
28120.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.390919501801717
28220.0,Put,100.0,100.0,-3904570.0019318815,1054.1630280756224,3758143.657274947,5493113.516083867,0.359026886920496
29525.0,Put,16.0,17.0,-1253006.8836418951,-288.940248599858,8333503.365306315,-1064849.0012009332,0.253623580063606
29100.0,Put,98.0,180.0,-17508038.734460242,-612.0276110376641,32534618.390872594,-2168877.1136608035,0.243638583725033
27900.0,Put,40.0,29.0,-986287.1801502177,287.8448624974718,1165465.5481859054,1943995.4046975635,0.465315904253484
30075.0,Put,3.0,1.0,-63451.35971392106,-21.719763484308437,1689226.9017894948,-112928.32001416157,0.357464099318961
28700.0,Put,188.0,199.0,-21439088.66590672,2880.433795853792,24394376.781173926,12146406.10151707,0.290592796902813
28930.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.261815824919968
28930.0,Put,8.0,19.0,-1307094.4005161144,58.022878906234325,1845937.0992330948,220252.76397323978,0.261815824919967
28820.0,Put,6.0,12.0,-842732.4531946471,75.26847012768832,1062651.6060425227,302082.89679413626,0.276629032026025
28920.0,Put,16.0,42.0,-2580515.687045613,125.41626729279436,3608151.4848282095,479282.4810332628,0.263548655872
30180.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.390116869726974
30180.0,Call,8.0,0.0,-151657.97632777246,-52.28007443425988,-135974.8859641731,-296024.81753971707,0.390116869726658
28940.0,Call,10.0,10.0,-1652359.216059918,66.20716436795946,-3443879.577511474,250752.00144471158,0.260433621407639
29010.0,Put,11.0,21.0,-1922914.6121537779,16.226854483838864,3040083.629565673,59093.640368439825,0.252657239388565
28820.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.276629032026024
28920.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.263548655871994
28580.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.305991303477229
28590.0,Put,4.0,11.0,-364065.24855701276,62.45073758608801,387073.87219882,275962.8628774141,0.304489266005687
28590.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.304489266005704
28610.0,Put,21.0,17.0,-1995767.9883399005,330.38207809139186,2135637.720503154,1443302.4913119918,0.301026259243098
28740.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.286597454978764
28320.0,Put,3.0,7.0,-146378.5890434375,36.483379005910415,140602.94498700107,180173.72485630162,0.34026580422957
28460.0,Put,4.0,10.0,-269677.04974221915,58.071558287461194,262356.91761353426,265747.1818761355,0.315311199713139
28470.0,Put,5.0,0.0,-345748.5900376251,73.16384467700091,339596.97508249455,334638.92707021435,0.315148895563898
