Strike,Type,OI,Volume,GEX,Vanna,DEX,Charm
28120.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0
28110.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0
30110.0,Call,10.0,10.0,-246142.85999792878,-96.65515062764521,-80275.68160047797,-227823.51457013184
30090.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0
30090.0,Call,3.0,6.0,-89197.67201749035,-33.61450795154476,-30167.573536591408,-79596.98719095765
28860.0,Put,6.0,6.0,-280795.22579990857,74.97949184315117,226230.12423956938,334097.29619325977
28870.0,Put,0.0,0.0,-0.0,0.0,0.0,0.0
29850.0,Call,105.0,150.0,-15380185.232762126,-2811.0370828082528,-9511444.05091699,-7573879.819629468
31000.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0
30800.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0
28850.0,Call,5.0,0.0,-227850.35513345932,61.40195689519081,-2772047.499154932,275440.27356851316
28450.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0
29575.0,Put,21.0,40.0,-4524277.911262465,-44.64848492214409,6428243.418050624,-138731.65217487968
30700.0,Call,5.0,5.0,-214.78789862048694,-0.15907644671414148,-44.35247074096003,-407.2742606981974
29350.0,Call,41.0,6.0,-6660684.65061898,676.4404307298237,-17472722.960493,2337798.983480922
28225.0,Call,1.0,0.0,-9152.14434499994,3.6079309844679712,-583809.1501289794,21110.96359488115
29350.0,Put,41.0,57.0,-6660684.65061877,676.44043072977,6762131.968969301,2334479.1403398244
28475.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0
28600.0,Put,53.0,62.0,-1231108.696091935,403.35605669931033,967524.2128717921,2019858.6491821138
28600.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0
29425.0,Put,11.0,13.0,-2041070.2597211194,137.10205417055127,2261798.5403821846,455446.23006488924
29910.0,Call,86.0,95.0,-9741237.969041582,-2216.5948262994207,-5135103.469924673,-5773719.835780544
29980.0,Call,22.0,22.0,-1647851.0780244437,-467.19614534738446,-723905.728482569,-1169047.7406163788
29210.0,Call,4.0,0.0,-474129.3844643527,74.92328064418126,-1932695.1963040717,279563.50386193075
29870.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0
29870.0,Call,21.0,50.0,-2848879.618408885,-562.4092895966048,-1669460.1537560662,-1498188.094874526
29880.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0
29000.0,Call,13.0,2.0,-889355.3623742259,203.28309846514412,-6947601.765657617,844768.5304005407
29575.0,Call,35.0,27.0,-7540463.185437351,-74.4141415369052,-9974551.763358869,-228385.40785400593
29550.0,Put,33.0,63.0,-7031998.725334975,26.44529762098334,9501758.556599364,81288.15438266823
28700.0,Call,4.0,4.0,-121484.95009875426,37.13087775182335,-2268227.6210892876,178518.36020727176
29800.0,Put,17.0,18.0,-2911473.8970942604,-430.0231158372577,7989750.041568287,-1191397.5336943103
30650.0,Call,23.0,23.0,-1990.5919912582585,-1.4140597382784055,-425.94834556416913,-3612.247039570757
30300.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0
30350.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0
29370.0,Call,1.0,1.0,-168760.8285325559,15.62802811409597,-415951.488790331,53492.92658131433
29430.0,Put,4.0,6.0,-748068.2044041271,48.47192717352403,834252.4925570546,160582.64288188837
29460.0,Put,5.0,6.0,-976655.133746459,49.07665367033461,1134522.232001214,159997.06782272004
29470.0,Put,20.0,21.0,-3955822.9688142524,179.06503147398823,4665907.7521311715,581032.1322690557
29570.0,Put,21.0,45.0,-4516997.72844757,-32.15745454011756,6351289.893645419,-100372.65622544714
28860.0,Call,3.0,0.0,-140397.61289994288,37.48974592157493,-1660167.0058896567,167291.56344839855
29720.0,Put,6.0,8.0,-1205908.1740139376,-114.9124945945934,2486932.3157576974,-331513.19010206213
29730.0,Call,16.0,20.0,-3169937.3589936653,-322.2421753087343,-2708681.3785560476,-923406.9637671487
28470.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0
28540.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0
