Strike,Type,OI,Volume
7760.0,Put,0.0,0.0
7770.0,Put,0.0,0.0
7765.0,Call,36.0,35.0
7620.0,Call,1919.0,1844.0
7645.0,Put,0.0,0.0
7720.0,Call,217.0,0.0
7365.0,Call,55.0,0.0
7360.0,Put,1815.0,1079.0
7340.0,Call,1493.0,2.0
7340.0,Put,2441.0,2057.0
7640.0,Put,1.0,1.0
7640.0,Call,885.0,975.0
7395.0,Put,787.0,862.0
7390.0,Call,1701.0,16.0
7435.0,Put,412.0,532.0
7375.0,Call,2731.0,81.0
7280.0,Call,696.0,1.0
7170.0,Call,619.0,2.0
7170.0,Put,1010.0,235.0
7180.0,Call,306.0,0.0
7630.0,Put,5.0,4.0
7205.0,Call,18.0,20.0
7620.0,Put,2.0,5.0
7600.0,Call,12775.0,8311.0
7325.0,Call,1116.0,5.0
7410.0,Call,1155.0,97.0
7345.0,Call,41.0,2.0
7290.0,Put,968.0,126.0
7425.0,Put,968.0,1706.0
7775.0,Put,0.0,0.0
7075.0,Put,2994.0,3.0
7650.0,Call,2162.0,740.0
7225.0,Call,5054.0,2.0
7355.0,Call,20.0,0.0
7310.0,Call,759.0,44.0
7120.0,Call,190.0,0.0
7700.0,Call,1933.0,405.0
7125.0,Put,1162.0,382.0
7675.0,Call,808.0,34.0
7470.0,Call,2446.0,1990.0
7175.0,Put,3067.0,43.0
7125.0,Call,5603.0,1.0
7225.0,Put,1075.0,63.0
7420.0,Call,1919.0,33.0
7725.0,Put,0.0,0.0
7350.0,Put,4033.0,2556.0
7475.0,Put,864.0,1761.0
7625.0,Put,2.0,1.0
7100.0,Put,6478.0,613.0
7200.0,Put,3631.0,1373.0
7100.0,Call,7077.0,1.0
7575.0,Put,17.0,51.0
7200.0,Call,2285.0,22.0
7160.0,Call,345.0,0.0
7480.0,Call,849.0,866.0
7750.0,Put,2.0,0.0
7425.0,Call,1611.0,154.0
7520.0,Call,1268.0,2034.0
7275.0,Put,1621.0,330.0
7525.0,Call,4006.0,4154.0
7375.0,Put,2243.0,1639.0
7330.0,Put,926.0,468.0
7075.0,Call,3089.0,1.0
7775.0,Call,677.0,1.0
7515.0,Call,461.0,922.0
7410.0,Put,2206.0,1278.0
7090.0,Put,475.0,139.0
7550.0,Call,4087.0,7492.0
7195.0,Call,2.0,1.0
7750.0,Call,1454.0,31.0
7240.0,Call,1377.0,1.0
7250.0,Put,3667.0,840.0
7615.0,Call,1006.0,495.0
7565.0,Call,588.0,1009.0
7335.0,Call,142.0,1.0
7355.0,Put,703.0,833.0
7155.0,Put,1200.0,71.0
7490.0,Put,1636.0,3219.0
7675.0,Put,1.0,0.0
7400.0,Call,5258.0,625.0
7250.0,Call,4816.0,11.0
7220.0,Put,690.0,453.0
7650.0,Put,14.0,13.0
7080.0,Put,538.0,91.0
7320.0,Put,520.0,334.0
7280.0,Put,746.0,348.0
7210.0,Put,574.0,503.0
7450.0,Call,2858.0,1745.0
7310.0,Put,423.0,253.0
7240.0,Put,597.0,130.0
7370.0,Call,1407.0,30.0
7585.0,Call,572.0,1217.0
7595.0,Put,22.0,25.0
7385.0,Put,466.0,685.0
7110.0,Call,196.0,0.0
7610.0,Put,2.0,1.0
7270.0,Call,329.0,40.0
7730.0,Put,2.0,0.0
7730.0,Call,4.0,4.0
7285.0,Put,303.0,196.0
7430.0,Call,1539.0,29.0
7120.0,Put,785.0,97.0
7290.0,Call,1550.0,22.0
7815.0,Put,0.0,0.0
7705.0,Put,0.0,0.0
7490.0,Call,665.0,484.0
7535.0,Call,820.0,1373.0
7420.0,Put,1018.0,1822.0
7460.0,Call,1169.0,182.0
7470.0,Put,1145.0,1646.0
7615.0,Put,2.0,5.0
7095.0,Put,264.0,73.0
7145.0,Call,1.0,2.0
7500.0,Put,2065.0,5024.0
7165.0,Call,1.0,1.0
7195.0,Put,247.0,29.0
7350.0,Call,2858.0,27.0
7460.0,Put,1439.0,2236.0
7440.0,Put,853.0,884.0
7465.0,Call,432.0,126.0
7110.0,Put,637.0,69.0
7570.0,Put,39.0,58.0
7255.0,Put,384.0,186.0
7255.0,Call,6.0,0.0
7465.0,Put,410.0,894.0
7560.0,Call,749.0,1403.0
7580.0,Call,1312.0,2036.0
7590.0,Put,3.0,12.0
7265.0,Put,407.0,143.0
7265.0,Call,2.0,0.0
7440.0,Call,1117.0,130.0
7505.0,Put,179.0,857.0
7245.0,Put,366.0,306.0
7205.0,Put,328.0,86.0
7155.0,Call,2.0,0.0
7080.0,Call,920.0,0.0
7805.0,Put,0.0,0.0
7810.0,Put,0.0,0.0
7590.0,Call,1393.0,1268.0
7795.0,Call,0.0,0.0
7805.0,Call,0.0,0.0
7795.0,Put,2.0,2.0
7810.0,Call,0.0,0.0
7635.0,Put,1.0,0.0
7445.0,Call,404.0,48.0
7485.0,Put,289.0,1184.0
7320.0,Call,1117.0,31.0
7610.0,Call,640.0,1321.0
7300.0,Put,5935.0,1184.0
7400.0,Put,4816.0,5017.0
7305.0,Call,201.0,20.0
7315.0,Put,582.0,168.0
7335.0,Put,796.0,390.0
7485.0,Call,602.0,392.0
7455.0,Put,502.0,1089.0
7325.0,Put,1337.0,403.0
7220.0,Call,273.0,12.0
7090.0,Call,351.0,0.0
7150.0,Call,5338.0,4.0
7705.0,Call,9.0,9.0
7690.0,Put,1.0,1.0
7680.0,Call,294.0,41.0
7580.0,Put,6.0,7.0
