Strike,Type,OI,Volume,GEX,Vanna,DEX,Charm,IV
28525.0,Put,16.0,29.0,-1819152.2184562092,30.778868736951075,4163743.8993425146,166917.80673746642,0.380758760592389
29780.0,Call,1.0,1.0,-24887.564455143067,-7.415373174445506,-31216.666572296705,-51436.94877782372,0.485396542745501
29940.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.536640028125611
28225.0,Call,2.0,0.0,-176764.05209792726,18.526899833148768,-827358.9758224163,109520.46031267637,0.413200876471821
28825.0,Put,21.0,3.0,-2448770.2914252593,-219.9000060532195,8184541.256552077,-1051040.3531343848,0.334078877155879
28280.0,Put,28.0,14.0,-2627244.4290177966,235.43079891320173,4877935.1764667,1370559.9611721889,0.407534930327163
28730.0,Put,23.0,21.0,-2777262.013119078,-147.75149935834057,7984028.871584989,-735201.326126525,0.347653195211351
29010.0,Call,38.0,135.0,-3518458.4838013863,-571.7901075727204,-4170074.7699991055,-2631558.7406083336,0.322098782202584
28460.0,Put,14.0,9.0,-1528412.56680647,56.50122123450805,3297391.60522634,313917.1931605395,0.389314084206342
28440.0,Put,17.0,6.0,-1829180.9473042379,78.60469679166016,3879911.930446323,439740.51732312824,0.391914173077594
27960.0,Call,1.0,1.0,-61779.204477679654,10.448480514054907,-473397.06337014167,67305.95192609046,0.450298063875291
27925.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.456263582356221
28020.0,Put,16.0,59.0,-1079165.1662868182,168.1802320760144,1747051.270471428,1059293.1589669473,0.440816371465699
28020.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.440816371465716
28025.0,Put,16.0,77.0,-1086901.6616172187,168.11292846550123,1763110.1594907383,1057234.5792886054,0.440136956012421
29160.0,Put,13.0,0.0,-888356.4885867584,-189.35315195997788,6496178.41852903,-894866.0377129188,0.330348076040199
29180.0,Put,10.0,6.0,-653133.7091964909,-143.61482858304714,5039562.447971774,-680370.0215047459,0.331148951135977
29390.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.354657046019162
28690.0,Put,26.0,12.0,-3142071.5937757622,-121.11578125899896,8561828.680184541,-613771.081256359,0.353910452271333
28660.0,Call,19.0,25.0,-2284921.948485197,-63.632774881406185,-4854314.121447282,-325867.024255689,0.359056896172754
28370.0,Put,14.0,10.0,-1430180.5764656449,91.34487719790451,2847427.352088173,519574.70655938773,0.398297982567784
28370.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.398297982567789
27540.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.545093782704123
29370.0,Call,30.0,71.0,-1251408.8444636003,-344.09714510697347,-1183009.7119984215,-1709160.053793704,0.347585162004903
28890.0,Call,23.0,48.0,-2536824.779856799,-293.84041770493786,-3538232.2409525355,-1372060.0571977405,0.326838619145124
28700.0,Put,119.0,341.0,-14399984.173809893,-607.6683927901951,39719804.78429631,-3062548.97022702,0.352016084339363
29850.0,Call,101.0,59.0,-2337523.3920055553,-704.4346697470003,-3043094.037402489,-5109035.342630945,0.507518650607174
29320.0,Call,21.0,84.0,-964453.7749388466,-257.94951801759925,-894364.7664990252,-1234505.6009261273,0.334903610989986
