Strike,Type,OI,Volume,GEX,Vanna,DEX,Charm
29080.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0
28930.0,Put,1.0,3.0,-39182.14723776512,7.351589700358535,80306.74482542212,69597.02645948986
28960.0,Put,3.0,7.0,-121215.9895775143,22.618531989878136,243517.15184069533,209179.26808132988
28540.0,Put,6.0,6.0,-167367.46463003205,32.984617112307966,433683.4269499605,407635.16931959
28670.0,Put,5.0,5.0,-154512.6864869273,30.085734567900857,371719.0282994928,342315.27141338727
29830.0,Call,12.0,11.0,-2372397.2047918453,210.8784694416792,-5026847.952814069,639479.5968447956
29860.0,Put,3.0,3.0,-641154.0488469207,48.31225773008198,592461.8754411067,140470.69506268
28525.0,Put,11.0,0.0,-303414.0930793788,59.86615316597296,792819.7689154478,746698.1435990735
31000.0,Call,32.0,4.0,-1420110.793817835,-271.67238448216006,-2750225.1549679223,-2378198.3432970154
28750.0,Call,1.0,0.0,-33077.1250768042,6.380006100200305,-523875.7951805845,68887.4964753868
28630.0,Put,0.0,0.0,-0.0,0.0,0.0,0.0
28640.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0
31100.0,Call,0.0,0.0,-0.0,-0.0,-0.0,-0.0
28730.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0
28780.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0
28910.0,Put,0.0,0.0,-0.0,0.0,0.0,0.0
29590.0,Put,10.0,12.0,-1047899.5341164935,157.92996747869282,1137601.6400083795,701876.971479734
29590.0,Call,30.0,6.0,-3143698.602349358,473.7899024359819,-14580380.09127863,2108095.734303677
29660.0,Put,11.0,21.0,-1373710.0890344065,194.61415874701947,1349636.7533247466,759715.8484277282
29720.0,Call,20.0,40.0,-2930850.3073103162,374.310635648411,-9255937.805290453,1328774.7416030145
28680.0,Put,1.0,1.0,-31159.493468452525,6.0605610630637985,74525.30382572526,68505.12002344901
28790.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0
