Strike,Type,OI,Volume,GEX,Vanna,DEX,Charm,IV
29560.0,Call,55.0,241.0,-624777.7972511788,-20.05317301337305,-16334493.97740256,-1136805.243127048,3.90348870092542
29310.0,Call,0.0,203.0,-0.0,-0.0,-0.0,-0.0,1.896837010416576
29120.0,Put,7.0,464.0,-584976.0136520548,-3.705463509483999,2049001.2566160618,-28899.758774519065,0.530773215480118
29680.0,Put,1.0,1.0,-9271.285335270113,-0.3394834263534896,280181.32879991765,-23647.128050339517,4.7791463421016
30360.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,9.55266212598531
29080.0,Call,0.0,63.0,-0.0,-0.0,-0.0,-0.0,0.993081040801793
29780.0,Call,58.0,10.0,-469141.01094042487,-18.861403617593307,-17724176.295159817,-1499688.691189019,5.47300218364768
29425.0,Put,19.0,38.0,-295496.59973646473,-7.887281782310031,5524894.323981158,-328092.5292078849,2.85208179071751
28940.0,Call,0.0,3.0,-0.0,0.0,-0.0,0.0,1.935380899650562
28930.0,Put,31.0,284.0,-674285.7663748381,0.3705236232210133,8236487.390626474,9801.484604302026,2.027174383585713
29290.0,Call,1.0,415.0,-25736.07473587313,-0.5378947971843838,-284946.034497462,-13446.651767126466,1.722945935112472
29290.0,Put,11.0,40.0,-283096.8220951067,-5.916842769041077,3267321.6114208526,-148790.1184782978,1.722945935109406
28790.0,Put,9.0,36.0,-121085.52233708941,-0.4797979008677866,2309430.1261502416,-23081.794125158794,3.26072035380162
28170.0,Call,0.0,0.0,-0.0,-0.0,-0.0,-0.0,8.27266855739213
28480.0,Call,0.0,0.0,-0.0,-0.0,-0.0,-0.0,5.78765705339099
28540.0,Call,0.0,0.0,-0.0,-0.0,-0.0,-0.0,5.30922901190009
29770.0,Call,29.0,28.0,-237551.29300560436,-9.466886345225467,-8851280.032573748,-743341.5254813432,5.40486713305988
30440.0,Call,0.0,0.0,-0.0,-0.0,-0.0,-0.0,10.09203057340101
30330.0,Call,0.0,0.0,-0.0,-0.0,-0.0,-0.0,9.34893749600454
30280.0,Call,0.0,0.0,-0.0,-0.0,-0.0,-0.0,9.0075484118681
29910.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,6.40419301618076
29970.0,Call,21.0,0.0,-135625.12139461347,-6.36582253175453,-6582169.668197399,-632329.4994584469,6.83602625299422
28690.0,Put,5.0,15.0,-53338.27706213392,-0.3891025272014004,1254167.243219838,-23361.732310356245,4.09573006951479
28580.0,Call,0.0,1.0,-0.0,-0.0,-0.0,-0.0,4.98819578975635
30160.0,Call,2.0,0.0,-10754.976372529913,-0.5752647096604797,-642485.6294526668,-68373.24489494595,8.17848951066178
30060.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,7.4766707179072
30050.0,Call,35.0,0.0,-208336.4534844262,-10.358577857831445,-11086285.912185408,-1114786.9936551298,7.40591904263287
30410.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,9.89041704761801
30390.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,9.75557870351483
30380.0,Call,0.0,0.0,-0.0,-0.0,-0.0,-0.0,9.68802827047999
30390.0,Call,9.0,0.0,-40330.52535472605,-2.466766866684947,-2973555.8790644775,-349767.69501890294,9.75557870345981
28310.0,Put,30.0,0.0,-179700.94868020448,-3.671140730746816,6931922.8497416135,-383282.0237271611,7.15708356889845
28570.0,Call,0.0,1.0,-0.0,-0.0,-0.0,-0.0,5.06857974697724
29040.0,Call,0.0,16.0,-0.0,0.0,-0.0,0.0,1.049274754798241
29910.0,Call,27.0,12.0,-186318.053809187,-8.351573539006083,-8395014.87767737,-777131.5839299364,6.40419301618924
29940.0,Call,29.0,2.0,-193485.71247323247,-8.877761744151684,-9053334.348065069,-854028.8283304062,6.62056750477794
30020.0,Call,23.0,0.0,-141041.00692797225,-6.86602169245265,-7256795.894426686,-717661.2076810536,7.19302255617951
28810.0,Put,5.0,25.0,-71051.39780567646,-0.23434706215672446,1289065.8940375692,-10712.157259370619,3.08954560114872
