Strike,Type,OI,Volume
4545.0,Put,6.0,1.0
4660.0,Put,21.0,32.0
4590.0,Put,19.0,16.0
4595.0,Call,0.0,0.0
4615.0,Call,0.0,0.0
4625.0,Call,33.0,0.0
4630.0,Put,29.0,8.0
4715.0,Put,3.0,0.0
4365.0,Call,0.0,0.0
4515.0,Call,0.0,0.0
4510.0,Put,4.0,2.0
4710.0,Put,3.0,4.0
4555.0,Put,4.0,3.0
4785.0,Call,8.0,13.0
4760.0,Put,3.0,0.0
4755.0,Put,2.0,2.0
4790.0,Put,0.0,0.0
4580.0,Put,69.0,56.0
4530.0,Put,4.0,3.0
4390.0,Call,0.0,0.0
4385.0,Call,0.0,0.0
4380.0,Put,0.0,0.0
4755.0,Call,11.0,6.0
4585.0,Put,14.0,7.0
4400.0,Put,93.0,8.0
4600.0,Call,128.0,2.0
4650.0,Call,161.0,10.0
4675.0,Put,131.0,156.0
4725.0,Put,186.0,11.0
4575.0,Put,73.0,40.0
4450.0,Put,201.0,6.0
4365.0,Put,8.0,5.0
4770.0,Call,12.0,14.0
4765.0,Put,8.0,0.0
4705.0,Put,9.0,3.0
4685.0,Call,12.0,31.0
4690.0,Call,21.0,28.0
4375.0,Put,57.0,0.0
4350.0,Put,55.0,1.0
4580.0,Call,0.0,0.0
4425.0,Put,465.0,261.0
4700.0,Call,465.0,241.0
4700.0,Put,114.0,46.0
4625.0,Put,158.0,170.0
4400.0,Call,3.0,0.0
4775.0,Put,6.0,1.0
4525.0,Put,63.0,29.0
4350.0,Call,0.0,0.0
4675.0,Call,18.0,9.0
4750.0,Put,20.0,0.0
4575.0,Call,7.0,0.0
4725.0,Call,231.0,226.0
4405.0,Call,0.0,0.0
4645.0,Call,0.0,0.0
4665.0,Call,5.0,6.0
4685.0,Put,16.0,4.0
4680.0,Put,10.0,14.0
4670.0,Call,6.0,12.0
4500.0,Put,247.0,34.0
4395.0,Call,0.0,0.0
4435.0,Call,0.0,0.0
4795.0,Call,2.0,2.0
4600.0,Put,381.0,263.0
4410.0,Put,6.0,6.0
4410.0,Call,0.0,0.0
4415.0,Put,119.0,1.0
4540.0,Call,0.0,0.0
4555.0,Call,0.0,0.0
4540.0,Put,4.0,0.0
4775.0,Call,128.0,53.0
4455.0,Call,0.0,0.0
4430.0,Call,0.0,0.0
4385.0,Put,0.0,0.0
4445.0,Call,0.0,0.0
4475.0,Put,73.0,15.0
4500.0,Call,1.0,0.0
4550.0,Put,363.0,142.0
4550.0,Call,38.0,0.0
4760.0,Call,15.0,22.0
4800.0,Call,493.0,300.0
4750.0,Call,231.0,198.0
4695.0,Call,6.0,12.0
4655.0,Put,18.0,24.0
4650.0,Put,292.0,222.0
4635.0,Put,29.0,30.0
4475.0,Call,0.0,0.0
4520.0,Put,3.0,4.0
4535.0,Put,34.0,32.0
4440.0,Put,3.0,3.0
4640.0,Put,7.0,9.0
4425.0,Call,0.0,0.0
4705.0,Call,57.0,44.0
4525.0,Call,0.0,0.0
4485.0,Put,1.0,0.0
4480.0,Call,0.0,0.0
4470.0,Call,0.0,0.0
4530.0,Call,0.0,0.0
4545.0,Call,0.0,0.0
4535.0,Call,0.0,0.0
4605.0,Put,7.0,6.0
4765.0,Call,2.0,4.0
4790.0,Call,16.0,14.0
4795.0,Put,1.0,0.0
4360.0,Put,3.0,3.0
4440.0,Call,0.0,0.0
4435.0,Put,2.0,1.0
4505.0,Put,2.0,0.0
4645.0,Put,3.0,9.0
4655.0,Call,2.0,3.0
4640.0,Call,1.0,2.0
4670.0,Put,8.0,8.0
4730.0,Put,3.0,2.0
4740.0,Put,5.0,1.0
4730.0,Call,38.0,89.0
4780.0,Put,0.0,0.0
4355.0,Call,0.0,0.0
4395.0,Put,1.0,1.0
4505.0,Call,0.0,0.0
4510.0,Call,0.0,0.0
4515.0,Put,4.0,1.0
4610.0,Put,7.0,9.0
4605.0,Call,0.0,0.0
4660.0,Call,12.0,12.0
4680.0,Call,9.0,12.0
4695.0,Put,5.0,2.0
4770.0,Put,1.0,1.0
4780.0,Call,7.0,9.0
4805.0,Put,0.0,0.0
4805.0,Call,6.0,3.0
