Strike,Type,OI,Volume
4490.0,Put,10.0,1.0
4685.0,Put,10.0,21.0
4460.0,Call,0.0,0.0
4465.0,Put,1.0,0.0
4460.0,Put,10.0,0.0
4480.0,Put,2.0,1.0
4480.0,Call,0.0,0.0
4470.0,Put,1.0,0.0
4455.0,Put,2.0,0.0
4795.0,Call,112.0,14.0
4620.0,Call,8.0,1.0
4545.0,Put,5.0,0.0
