Strike,Type,OI,Volume,GEX,Vanna,DEX,Charm,IV
4355.0,Put,16.0,7.0,-3091525.515361069,2430.621755128831,1772337.570449899,735747.9491880375,0.1383941023991264
4230.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.542080775740496
4220.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.565244645844192
4390.0,Put,3.0,1.0,-490567.3539713544,-188.60906525200826,816688.6400896518,-80288.89783699236,0.1942897900078913
4345.0,Call,17.0,21.0,-21424.60177360816,92.79099791245942,-7436926.925186222,8607.90569189107,0.0373809063068508
4330.0,Put,21.0,1.0,-502309.5119684991,1417.5879441253555,83096.65691135444,264572.1191989451,0.0853051726802999
4310.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.2184518432242195
4285.0,Call,1.0,0.0,-48374.80954160835,67.84606387536967,-386353.43519040337,50444.43246770397,0.3394652387413
4265.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.423898958094834
4165.0,Put,5.0,4.0,-101571.34678861484,140.06353757773954,253898.6300330148,246329.46736247468,0.803924398579028
4280.0,Put,17.0,6.0,-741136.641157866,1141.2157933093636,714397.4306399592,815633.309107895,0.32669455924255
4340.0,Call,6.0,7.0,-23.746185455903596,0.1419580946100097,-2625179.548420595,369.3928912268501,0.031485326534263
4285.0,Put,18.0,21.0,-820300.1726028293,1282.567619718503,731647.030281736,855647.1381201678,0.304949492673234
4280.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.361563463662863
4160.0,Put,0.0,0.0,-0.0,0.0,0.0,0.0,0.82411606539386
4160.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.468023224051045
4335.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0702289456306924
4340.0,Put,29.0,11.0,-86127.66084004648,340.2665201819173,6017.855233842714,35461.09645577544,0.0476327496873674
4250.0,Put,55.0,37.0,-1871987.292685502,2723.9758301432853,2585393.6361010866,2705679.220237611,0.454038329282027
4465.0,Call,15.0,6.0,-720568.6112338046,-618.6057702874996,-1610503.4530603888,-740799.097201077,0.547492799724631
4270.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.403788420107038
4580.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.587275311710159
4580.0,Call,1.0,0.0,-23629.664201658994,-26.95208241523134,-80009.95680589353,-55271.48069622918,0.937470264828663
4365.0,Put,4.0,0.0,-741839.1208668425,240.5322651843777,682011.0586915563,90895.13215556767,0.1728924622196605
4360.0,Call,43.0,68.0,-10631657.887043234,7974.074017832693,-13857730.328827208,1928055.324851459,0.1104012621922237
4325.0,Call,5.0,3.0,-311275.53447866987,615.7421188064941,-2081819.0528279876,181994.29199563758,0.1348777955386968
4575.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.581254827448873
4575.0,Call,27.0,6.0,-652595.3739747495,-738.5055417608961,-2181253.9662430044,-1489547.4182940342,0.922041145206381
4480.0,Call,17.0,17.0,-720932.1503870406,-656.4133379167064,-1731569.7767583407,-865178.6202934065,0.60257353046549
4170.0,Put,0.0,0.0,-0.0,0.0,0.0,0.0,0.783680883185489
4225.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.554538894513379
4300.0,Put,34.0,31.0,-1755686.0996311351,2945.8647588897156,1167913.455545328,1529047.7047925864,0.237255498250636
4275.0,Put,40.0,16.0,-1668608.6056507071,2537.471111678077,1725664.0934698,1932189.8499626662,0.34806827147918
4300.0,Call,5.0,1.0,-283944.01029055205,419.50412698794617,-1956217.3028877974,247270.34771381156,0.269108554898875
4525.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.494180485763029
4200.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.57181125427785
4375.0,Put,3.0,1.0,-519061.34872779256,9.53106339229907,642976.9622588919,3929.8771529187547,0.1926754826059924
4425.0,Call,119.0,17.0,-8756715.307359712,-5782.322548315385,-15492459.880728351,-4976155.932551808,0.393495222882677
4225.0,Put,104.0,12.0,-2966059.3951662364,4213.949691605526,5087929.627081627,5140519.540934106,0.55762105570583
4400.0,Put,28.0,1.0,-4311622.032563613,-2952.7714273420142,8737733.57380575,-1195333.1811352777,0.1848360429408849
4475.0,Put,9.0,0.0,-424329.3424158984,-573.5043910539571,3412014.926334556,-479834.0591113644,0.382026680230741
4175.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.414662159392353
4380.0,Put,5.0,3.0,-841568.118056859,-96.4409249369383,1168329.6176901232,-41814.121633413124,0.1974052778264877
4370.0,Call,96.0,86.0,-19928047.866161242,3779.471473129071,-23784341.86791859,1313327.6854797471,0.1584257965809174
4205.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.579697035558232
4195.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.546260301622501
4205.0,Put,6.0,6.0,-151124.03862309916,211.8113670023397,299408.2444363967,296737.2408858114,0.640391312196255
4360.0,Put,29.0,23.0,-5553653.996625771,2901.870195493828,4163422.0806939565,1000770.2249489621,0.1577126180522743
4305.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.244195356812868
4565.0,Call,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.890756907910426
4570.0,Call,2.0,1.0,-49470.852703689074,-55.5326567797284,-163166.08777778503,-110116.12416520786,0.906469564327475
4570.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.574547684847179
4555.0,Call,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.858912977186153
4545.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.533219977723429
4535.0,Call,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.793573178315509
4545.0,Call,2.0,0.0,-55999.11816782862,-60.154487411022615,-171804.17791173627,-108758.48053408142,0.826516802122373
4260.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.443314042093807
4315.0,Put,7.0,7.0,-376509.68766067026,728.9199350400811,158808.31068010672,263112.8755080807,0.1649912057561165
4500.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.440327685548542
4490.0,Put,1.0,0.0,-40428.800616904686,-57.490863057176746,384322.6112888021,-52568.206849950504,0.417495490131317
4505.0,Call,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.691470927270436
4590.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.595897316225984
4560.0,Call,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.874904359183713
4335.0,Put,25.0,40.0,-79998.84280409153,309.3770771848678,6629.611789138307,37544.01298091866,0.0554658510402463
4260.0,Put,12.0,8.0,-441430.59757994063,652.0693429158771,548504.355383617,587267.3611204483,0.411680466315411
4320.0,Call,1.0,1.0,-65814.24371903205,117.56903693084307,-408414.2494149417,42242.69381838542,0.1640006958944908
4560.0,Put,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.559307082635224
4520.0,Call,1.0,1.0,-32232.22561595967,-32.86400796730216,-90990.79703318054,-53422.62307304597,0.743136537853132
4520.0,Put,1.0,0.0,-30898.668095853795,-47.75434364538402,392629.58306783065,-50604.71016854867,0.483814461671184
4270.0,Put,12.0,8.0,-479330.3127521974,721.3932624208938,528754.5864332926,582593.9049937974,0.369156451527157
4230.0,Put,3.0,3.0,-88456.48947331493,126.1771166647701,145847.91321909564,148212.14350990189,0.536938252992956
4170.0,Call,0.0,0.0,-0.0,0.0,-0.0,0.0,0.433718760476084
4310.0,Put,12.0,11.0,-651210.252244661,1186.5693400299583,328722.9571700519,492432.49755862926,0.1896950125381287
4460.0,Call,10.0,11.0,-502500.1441698549,-421.69306268440675,-1094652.4247294425,-487769.38532756537,0.528827694625796
